Recipient Name,amount_2013,clim_rel_amount_2013,clim_rel_percent_2013,amount_2014,clim_rel_amount_2014,clim_rel_percent_2014,amount_2015,clim_rel_amount_2015,clim_rel_percent_2015,amount_2016,clim_rel_amount_2016,clim_rel_percent_2016,amount_2017,clim_rel_amount_2017,clim_rel_percent_2017,amount_2018,clim_rel_amount_2018,clim_rel_percent_2018,amount_2019,clim_rel_amount_2019,clim_rel_percent_2019,amount_2020,clim_rel_amount_2020,clim_rel_percent_2020,amount_2021,clim_rel_amount_2021,clim_rel_percent_2021,amount_2022,clim_rel_amount_2022,clim_rel_percent_2022
Brazil,117.98486,84.1796305,0.7134782420388515,60.828641,35.184794000000004,0.5784247917029743,50.015792000000005,27.143116,0.5426909165009323,103.262959,50.400882,0.4880828758742039,107.525887,75.6984825,0.7040023999058013,65.400119,35.740513,0.5464900300869483,57.976836,32.080494,0.5533329552513008,37.305778,18.056351499999998,0.4840095145583078,68.298989,32.5065315,0.4759445487545943,42.928005999999996,13.7204155,0.31961455419103324
India,87.731598,25.7163825,0.2931256592408131,90.631731,31.365431,0.3460756034771089,116.617307,32.956063,0.2826001032591157,98.127933,40.8276475,0.41606549992243286,107.629712,44.271083,0.41132771032593674,109.141781,51.661947500000004,0.47334711809403224,117.066689,62.242165,0.531681262463996,119.835516,33.182358,0.2768991957275838,112.342707,42.7584155,0.3806069538630576,83.162639,43.91219,0.5280278563550636
Mexico,16.053676,4.500559,0.2803444519498213,15.144004,5.9388435,0.3921580778768944,19.204408,7.943457,0.41362675694038575,19.907992,8.621487,0.43306662972337945,29.731638,11.224750499999999,0.37753555656772086,39.594579,17.315987500000002,0.4373322797547614,22.675062,9.684322,0.42709131291460195,22.308089,8.7213275,0.39094910819120365,39.640199,19.094582,0.48169743042914587,28.890715,14.894245,0.5155374313166012
Namibia,38.020429,5.003903,0.13161090318049803,34.950745,5.3239885000000005,0.15232832662079165,36.285997,6.447197,0.1776772731365215,56.011438,15.1918225,0.2712271464981849,53.293393,19.0041335,0.3565945500974201,44.203410999999996,18.448919,0.4173641486626451,42.184037000000004,17.6076345,0.4174004138105606,43.498408,15.3350375,0.35254249994620496,50.039441000000004,22.667460000000002,0.4529918709523554,58.773219,29.5285045,0.5024142798780513
Tunisia,13.873996,2.4963629999999997,0.17993107393140373,14.562691,4.872478,0.33458637555380394,22.098859,9.2241105,0.4174021156476902,26.445773,9.0506005,0.34223240515601494,33.385606,13.787086500000001,0.41296499155953614,40.643921,14.260207,0.350857069129723,51.552319,12.002184,0.2328155984602749,60.084202,11.0364,0.1836822264860903,145.605737,13.892466,0.09541152901138779,105.36098199999999,13.1880795,0.125170430738772
Ukraine,18.402719,1.8069175,0.09818752870160109,59.731469000000004,10.592551,0.17733618773045745,62.119137,6.209146499999999,0.0999554533412143,80.00217,7.5352795,0.09418843888859514,105.276177,9.9883875,0.09487794660324719,97.119977,6.956699,0.07162994900626882,66.136684,8.0965015,0.12242073551797668,54.536706,7.778677,0.14263195507260742,87.930291,10.489684,0.11929545416834798,497.460705,9.381525,0.018858826246386635
