,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
No Climate Relevance,8626761185.0,10949573612.0,14675754589.0,20119832975.0,20614964932.0,18266320394.0,17095808785.0,20591033776.0,21126360302.0,25745904729.0
Partial Climate Relevance,1351645478.0,1079721554.0,1810978571.0,2011494990.0,1491296310.0,2153487743.0,1766962023.0,2535233003.0,2168642743.0,2867661028.0
High Climate Relevance,1911408862.0,2636900524.0,2598213131.0,3636717386.0,3863952593.0,3656074395.0,4727202675.0,4549515237.0,4367614770.0,6337110676.0
Total Financing,11889815525.0,14666195690.0,19084946291.0,25768045351.0,25970213835.0,24075882532.0,23589973483.0,27675782016.0,27662617815.0,34950676433.0
